name,pca_feat
Pineapple,"[-6.175511165107229,-26.41609014553084,-5.767197875839567,-9.38462233914585,-3.1968081884969486,-1.6457024660378847,-0.9606336102882005,5.43902092997005,0.23289319574154682,0.7778324887156532,1.9664054701253708,-3.358443543897491,2.269390198347117,2.0513974488417563,5.379392419813246,-1.4502770148989867,0.8114530243233848,-3.231503501089355,-0.8756784619106251,0.5859377699004814,-2.0059986966537307,-3.7206770523876314,-2.898038339900231,-1.6563145225141316,0.22713432693709132,2.8406528920825154,-0.43530057667541733,-0.05638453398064399,1.657004013844724,-2.4877722289484643,-0.8633945860590934,0.07313132117718875,-2.8673614698615877,-3.8220183393261533,-2.8090453419787083,0.16191248428597177,1.3737793883276892,-0.03648480295490061,-1.3812155612429449,2.0419106881998155,0.3037069710460306,-1.257785408684953,-3.2639113237506256,0.5048827238568323,-2.3372598539718257,-1.4165684071010773,-0.280122688222087,0.6597557024456484,-0.2828967881074302,2.45067335591582,-1.2964552604618291,-3.2038573413719624,1.9923078068374829,1.3042423517776458]"
Pineapple,"[-2.3674851426894112,-19.977637234382442,-2.540116074749477,-13.53079308835452,-1.8260781230804064,3.9636816893998232,-0.0917332586837616,2.104388928430539,-1.4229994110503232,-0.12556080301265563,3.016927655517786,-2.081467359774369,1.51554756318333,0.34677658486593405,5.407077307290607,0.7435346919576512,0.2844691501768954,-0.19204573638278333,-2.3736563359165164,2.3645592463783673,-1.0577073804882287,-5.769042742376835,-1.1246602514349655,0.6987079449697763,1.6947449717308052,1.5265565417680325,3.7711273502416818,2.2061102202970493,-0.4129683209860841,-0.5512051658949731,2.318707375154839,2.753008208435656,0.8477382181768712,-1.7918128180582795,-2.943148822294338,-2.46550794995683,0.5367314986120452,0.8764843985392587,0.7041725842206636,1.4340619313372542,0.5850092025280427,-1.0690526564107632,-2.08159096196917,-0.15649321664145976,-3.0631891206806676,-0.9726152693973892,2.5052806041267464,0.597653022876068,1.4449923175184367,2.7861131505242596,-0.4236931830282832,-2.296489161258088,1.341835272754252,-1.2340182090484288]"
Cauliflower,"[-14.254344214461469,-22.984583894711704,-6.0231086380738645,-11.993865964007947,-7.7615713691008,2.0305133143876772,-1.7310459167333907,2.7594792976629754,-1.3310614726776577,2.8827440108226305,-0.14255039583288268,-1.6529426948175172,2.813793798919495,1.3681527762776549,3.116194441027563,-1.2882718943896443,-2.2863148646802975,0.01973781798831781,-3.506767376430012,-0.04172987957227617,0.6332889020480998,-4.271458340217657,0.4395130993627712,1.1685189279189572,3.2171947548081334,1.9366868616136663,1.5831244957756059,0.3566983877730667,-0.9952792611237181,-2.7781294993082195,1.7871280118787116,-0.6505703260234249,-0.36242412288129716,-2.4055535999526954,-1.1791418413650805,-2.7209042333586777,0.7775412255929232,1.2116051766509566,0.16368368695574873,0.04480829165377758,-0.16891147045715488,-1.3866576675801183,-1.4999671101204297,-1.5841616419281295,-1.1582385622812215,-3.4977391084444376,-0.25643077012107085,-1.4462042375378863,1.099278425721457,2.362102706674818,1.6839891149921897,-0.2376541654360696,1.0320620389851005,1.2907352383096782]"
Cauliflower,"[-14.374208122255261,-22.109348157825888,-6.102643843178399,-12.67327543352116,-6.263807442132061,0.43182741517049905,-4.03132921743722,3.396964258925123,-4.065101463969639,2.6726198590416868,-0.04215745628587712,-0.728491844500229,2.0732958308597245,0.16606208010011725,3.2266945843205503,-2.906895214412018,-0.2396663060160607,-0.026271924834400526,-3.3758762807011635,-0.3444859037746748,-0.1663560020046608,-3.632204319025068,-0.5553342180043139,1.7328381497995342,1.9349975664999537,2.3265022402791424,2.0839862935265945,1.5666014381606257,-0.8681226626102346,-4.430735399353135,2.515809107193475,0.3958795382736419,0.20031903279950608,-1.8459392818934695,-2.145392886420183,-1.730196676485382,1.3722962151481946,2.1873419632977282,0.15385086616730267,1.2206775605691242,0.6272421621160655,-2.047988327131634,-0.825265496194553,-1.9602279566658292,-2.0923675552145804,-1.7514082557892667,-1.8006608493848035,1.0257475910557603,0.7581699899721057,0.48133164256048383,0.14760907321837097,-1.2409497288252562,0.1617121237056394,-0.5446711752634743]"
Rambutan,"[-9.323636049607993,-28.277062687735075,-4.928232922606387,-4.473319834950392,-8.288571529228705,3.7952669515261808,4.088193957848181,2.1925648160844826,-1.2719560817819935,2.8593707597997975,3.875457784370787,-1.1165866470124066,-0.42084563698787864,0.7210479519573966,3.662552131074338,-0.3076944394346989,0.3619056958252461,-0.638131198693478,-2.1964990363255077,-0.3164866331015519,-0.6462189389257192,-3.8597747237346556,-0.4236560927319221,0.7746708238250873,2.274821454515562,-0.04678278514331081,1.7781783190474258,0.22000702857816487,1.5207401581598583,-0.7304877930962869,1.521203761994583,1.880051827606736,-0.20671644404473907,-3.5122646525206798,-2.094407719282652,-0.02682694098973002,0.8931585486714787,0.2541520634341015,1.0018111045648943,0.8394325492066322,0.3912705430380077,-1.35185442878258,-2.332716261171495,-0.5235626073886861,-0.3868399160515079,-0.9255966168212163,0.8274619942580845,1.020840177907899,2.1509212444917987,2.101964063995033,0.45304737119201116,-2.142624637372835,0.6095296583372148,-0.618683353313618]"
Clementine,"[-1.5889950017734884,-19.405592053107895,-3.493595620753423,-14.969520839268329,-3.18647351338916,2.4510364004401146,-0.13099597193760393,2.0061251206210926,0.038389268381106664,1.7393190416345823,5.6159870113942825,-1.1060972101443365,0.5577303178839106,-0.574050906610401,6.484458430750695,2.489531126092502,-0.7283642021996263,-1.8128227547439388,-1.3940367366343602,1.3723100743220538,0.356728714537312,-2.719590493204462,-1.9291168897302258,-0.6482748772672368,1.8442060401902225,3.2527026844755396,1.7535430577656563,0.348139604278779,-0.5535879404944243,-1.6173649706257893,2.9591664631214853,1.5473913486803654,-0.44733591644711074,-1.7815783569201573,-2.4254960100421807,-1.8121234983014032,1.7034048116295935,-0.5262085429255178,0.4509349365276972,2.950277320112257,-1.2715783266641978,-2.437177762983304,-1.1874438915260874,-1.4034064791158454,-0.1838938361635169,-1.4073627315556378,0.26228317268490264,1.626630361477592,2.0047315570440047,1.987967380711677,0.05025231250506772,-1.344970671136193,0.6974666252102605,-0.2289930458709808]"
Watermelon,"[-13.275588591279103,-25.31468999674137,-1.4968516186026257,-8.973611266309602,-6.029232482740904,4.26859492997717,5.210360078047527,6.867793075683614,0.055387350413699,0.8092757011295022,2.602667926866005,-2.0059318763891993,1.9043619673591676,1.3147182823326702,1.5512817022307792,1.9737276620293789,1.1706255572157527,-1.660286622611017,-2.162253705618836,1.4723052431977472,-0.6921044747231331,-4.545305129998119,-1.7513972108206526,-0.03153705803030116,0.9511195431493373,0.1785259056928924,1.8510379923487303,-0.7860035373511371,-0.8895560776717831,-0.34724999777495086,0.12044183352994453,2.3812904150311436,0.16926790560060181,-2.2149809434960597,-1.6121777352093665,-0.033078700213542665,0.027593699405366913,-0.5143782339928504,-1.0139243251053922,3.0615497834211562,0.21551547697016665,-2.621144875194449,-1.4758244137912986,-1.4003210982427354,-1.9854514062552509,0.17016627362796308,-1.2089280101363287,1.7443414228192542,1.997984428155573,3.1409935724446028,0.6197152932992135,-0.7776893261851698,0.9799161820603174,0.4970752026847256]"
Pineapple Mini,"[-10.198790681827164,-27.224353260182056,-0.5788280313725022,-7.01019500096386,-5.971923910773489,5.026175214666211,1.845598949670647,5.487409990571137,-2.237835196653748,3.6993564352622847,1.8889913440963377,-2.386857551417317,2.3447109058679185,2.6256582527668324,2.129002147109317,-0.11991473287821362,-0.7722817665247904,-2.4022415630453944,-2.5117846674279374,2.3383147571670464,-0.7535683776572204,-2.2638009062470448,-1.6215268856445821,0.7110246497355514,3.2339970266581357,1.0984356860701385,1.9524949512616427,0.14070234850063396,-1.0025763288930956,-0.7399457066549177,2.0543711847133235,2.2332372536319576,-0.2693931900693308,-1.0381896083413633,-1.0304184718245826,-1.794412645714072,0.05046992482359563,-0.3680957729088246,0.7770899998736587,0.06267343395191062,0.41124433970826324,-2.3670900097330607,-2.865446023862246,-0.30021577648001746,-1.8128403908985267,-0.5824842497832415,-0.042112291764724426,0.041058433260318425,2.3140973276130024,1.3294954466465214,1.4810432268786868,-2.1753483142053747,-0.24845495711747104,0.7130916040826085]"
Mandarine,"[-1.1467963472650706,-21.504179573078233,-2.881273189110591,-10.914915424947543,-3.2877707006543777,2.05375949516498,1.1824966393207985,3.222545733931699,1.1524048587970206,2.812721736069807,5.559632556294657,1.468082066398948,0.6836737114177509,-1.1825680924694746,4.0641820041777255,1.7592171160425765,0.8616036769062528,-1.870216853264415,-3.152618620460926,2.243594988581375,-0.3229222939979844,-4.331936456098184,-0.9736156335176831,-0.022386646465029435,2.3536005050668507,2.2748131328462544,0.8004890521842408,1.490019924743611,1.4177389934249636,-2.7209217061082143,2.2622617514059002,2.5351135397770577,0.011376675128819878,-2.2579782292402095,-2.85630469489653,-1.280262720481636,1.171474876696934,0.7481698462865918,0.6627158408593992,2.128313521370965,0.4283678891788534,-2.8251778758751813,-2.2815079994442304,0.2597817847734942,-1.7351350704498658,-0.7336587075138328,1.6005904511991493,1.2664389647464365,0.8572864634521137,2.754294754578667,1.502154037339598,-2.887274041429382,0.8961493976742527,0.8290731528828675]"
Watermelon,"[-12.197674893444754,-25.87850769132436,-0.6376661947554029,-8.949371032051781,-6.930602708211668,4.140864295125921,4.378003211242046,6.102315360750286,-0.508729254682373,0.349859106146979,2.216570601220117,-1.7010639525133802,1.1445671617963822,1.8268558268686832,1.2751942928890148,1.029863018976283,0.8435721445217598,-1.8927516849371824,-2.5283494465397656,2.102362414111602,-0.5806693922395134,-4.240272222143829,-2.5365630028500816,-0.04032193396449135,1.2689397561506843,-0.06664040869366382,1.5847548019625943,-0.13163741526700573,-1.4678739487303627,-1.0590860222833427,-0.007138335424010646,2.997655911729709,0.7261253311287074,-3.0584972421608767,-1.3116011217684704,-0.43620121140049944,0.24304988679503134,0.7005074599820347,-1.4854822140597514,2.613538499727833,-0.5182847925109692,-2.387000775410518,-1.0353089890639229,-1.131241660252779,-1.9855992289580466,0.39460573491679984,-1.9117028137213863,2.0675575870440155,1.7175047494410847,3.4047836731985592,0.32404840449520017,-0.5598445611060064,0.4459627178711391,-0.2837968448419764]"
Lychee,"[-2.584836935081464,-19.509771955558126,-3.6706040615114914,-14.300769427419342,-4.774068449941941,0.64404143050564,1.7481853121884983,1.6334329980410969,-1.5993532329457794,2.2058263561518823,1.0278102170563803,-5.040093019076637,-2.3198516049690867,-2.3111902683092764,1.7626800232214253,-0.4364187963935897,0.6133638595453531,-2.2415070539124975,-3.471958080937277,0.6445650270637502,0.8117317976233178,-2.7778542388928855,-0.001961913874478869,1.505635271016969,2.474721076641759,1.5764095929596302,2.263161562723503,-0.7879310386213906,0.12542186723186788,-1.409865957658404,1.8968532393004702,3.006051215751402,-1.0078582118251174,-3.3756220575682105,-2.2718934287919246,-1.7128051161412292,0.27651258151653957,0.8766971757921458,-0.01782113678226419,1.7069448257387838,-0.7872865643922057,-2.226948142292562,-2.5766870017783337,-0.9983311741548183,-1.7775161497560374,-2.5498620918180204,0.57475914186739,0.6820050258793611,0.47552490619103654,1.2389987698502452,1.0462422489971253,-2.1365201058171888,0.5782123455253454,0.5475455018985286]"
Pineapple,"[-5.971452695283963,-23.92454068298305,-3.674007153134574,-14.760334856960958,-5.7070049543231285,3.407393828491023,-0.810577105653821,4.7810502113269955,-2.0298059080722446,-0.6473032814196528,1.538537125749883,-5.002355206462289,3.416299677822413,1.3093776517375366,2.915144714981827,-0.7220132609648184,0.8774965611739923,-3.7295449404476306,-3.2875679662284747,2.102617153254325,-0.8865382737673471,-6.891035376359545,-2.5519194913911813,0.36920379908201906,0.13330513494218227,2.267336449371764,3.3458761302451916,1.3780610742770385,1.1894766116466537,-1.1917002439588285,2.193825780011894,1.1646984043449142,0.2489894180157696,-0.677913248618131,-2.6747502163035173,-1.3732372470112064,-1.132476093885609,1.7089637664550816,-0.6685123702470281,0.48947551285793456,-0.8508578295022242,-1.2605718170230984,-1.5483664345018362,-3.212029320592847,1.2485095673569537,0.5668758013988247,0.3670405534398481,-0.004602486473509649,0.2710819206785306,2.0325354231660286,2.153673799077933,-2.172707104981111,3.6969867856847287,2.298069583882085]"
Cantaloupe 2,"[-1.0738738540266768,-23.671391597716635,-1.8643963439658617,-15.010908093831922,-6.136455720808298,2.312312111366739,4.276611567378179,2.020622433734605,-1.2752952687861543,0.6111429031648311,4.9873538608478505,0.40205441790773877,2.600182972889226,1.2295520044245767,3.0973752080184553,-2.443234827827555,0.27828509549601615,-1.2481438952766049,-3.1882008631516445,-0.3035532045851108,-1.1456328070703732,-4.883060620813705,-2.067069337166244,0.5698771369768899,2.7530328544347613,0.38716146409567226,1.7985568050715859,0.4866605439185919,1.8548625843571487,-0.9436152459677566,1.6222684917552666,2.389602346871468,-0.09320641690121284,-4.098541002782565,-2.090535366321778,-1.247361227954368,0.10838743056667312,0.5780111896180027,0.3092209718808695,1.4385669567083086,0.5122280008811152,-1.301761768330385,-1.578863655856478,-0.35381161596577354,-1.6968253586716076,-0.7876379973597022,1.176620169852885,0.7526649504248679,1.016368498279455,1.341515316347697,0.9522634602022303,-1.102427831873127,1.5695404338703416,-0.40689848850093846]"
Lychee,"[0.4878795042581093,-26.03852067423449,-3.9593985283862723,-15.440970897991367,-4.654715888495253,2.475411285687908,1.54127590281365,4.34923461604847,-0.8026362511329108,3.062007241048154,4.76212549379739,-3.0706865912443537,0.6279395596589861,-0.7348836876077264,1.8801842556972992,-2.0692435807116953,0.03203001392010227,-1.6786152422086171,-4.492678289097017,-1.1647389156030357,-1.02229746133138,-3.8939216162015446,-0.5811370015363182,0.15397265278510286,2.486990985094129,1.6645431015655678,2.0115513146058066,0.6250905907364886,0.04953696589515722,-1.5558494416738533,2.203937619744677,1.7391180018318875,-0.3946190518923735,-2.1983665230585685,-2.4319843663528142,-1.55703533849515,0.6585784578462686,0.988029880922328,1.4517762473851743,1.1174494456911337,0.27314809788414285,-2.972890050885549,-2.290382659780396,-0.7059893253247937,-1.9779694665465402,-0.3895370020403816,1.537174172851968,0.3922535182298151,1.3922000694686965,2.618115889828673,1.1837149978895944,-2.1210961889164315,0.7644766320061819,-0.7214974565104086]"
Cauliflower,"[-16.6227877351999,-23.841053308115498,-1.7770259034676,-10.452292406157886,-5.199863934167023,-1.1653719700848573,1.1017951997037623,-1.8565863045252091,-1.4729002500932544,1.5851935186122286,3.256118064296353,-2.089261800520707,-0.9124150511138456,0.7952703427936542,4.689086396336959,-0.8114127052429895,2.749702319191044,0.7416583545253425,-4.117766540945268,0.06519436994436748,1.564733214446124,-5.035609138225858,-3.5676677836576043,1.7953470112872645,1.5277511253828178,0.7461195667871242,2.4826255600716802,1.3094364726042578,2.116541792021728,-0.6036911495640875,0.8029069253227943,3.3239393941036526,0.918025546168738,-1.8413519385666435,-2.1807694076841737,-1.0549979129591407,-0.19359296107038487,0.7693717562156994,0.9883741363473346,4.3514674866065155,-0.5652931934989314,-1.8514970039412635,-1.358230579970005,-0.5692513577655512,-1.1597028302426762,0.27156935160900236,0.1115751716975177,0.2223670265807272,0.8754038768786773,2.1771815744125007,0.8936022630014502,-1.1621764804146864,0.47017402417366444,0.9441156335994941]"
Cauliflower,"[-17.533650782660484,-23.916298967648608,-0.7649502133863493,-9.861060849399575,-3.286836304961316,-0.8819422473817297,-1.3620922546802101,-0.3060351231085819,0.11302490591030533,2.5008852928554988,0.848085263803689,-1.6289928960752267,-0.09168392460517599,1.4700062365752886,3.29610623893611,-0.6122976360428013,2.0415299534886153,-1.1289333538497337,-3.6972805694585813,1.9571846557525927,-1.2096155609956558,-4.648826187559747,-2.1156014042032996,0.08681369380659681,1.0056744418398298,1.226722228761705,0.724752476452503,-1.668309903384265,3.4961931150050005,-0.15579569010197958,-0.07397420132994434,3.8549854235071916,2.1845266076071073,-1.3232871212244783,-1.9829173175333101,-3.0250498747841936,-0.5671548706127166,0.5873915967230354,1.199621047599852,3.1539705878108433,-1.8361502902697606,-0.741800039555059,-1.164738563513972,-0.9451334661093358,-0.16997899347108816,0.08917494366037253,0.7321583429152407,0.5574320142155199,0.8962669896350338,0.42005272888174217,1.3116498949729454,-2.223090625082546,-0.1266198247815313,1.1728523800899413]"
Raspberry,"[-9.322890747184607,-26.26477761358066,-0.9134755068515161,-8.796220555126427,-8.198563632226655,2.6314449891430605,4.584889546744671,5.733139619753697,-3.313859328392839,0.7358487436579682,3.2828871682449687,-2.188882301937702,2.1924160429864865,1.4072175128364566,2.528018872935844,-1.2108677228219302,2.1667877555397927,-1.8349556925638657,-3.7215009590684027,-0.68693933007723,-1.4139774816104773,-1.4074609040063615,-2.095245681730312,1.2362227748551444,0.6200398248441601,1.631433076091235,1.1964961240506133,0.6430557948307819,-0.5957042501544131,0.43210905745911693,0.9374125262230445,2.3832065725174796,-0.2468750747588093,-3.8802671117547143,-1.9579975187936074,-0.8866942410575958,1.817514984657248,-0.5003948494088016,0.06542299164304771,1.604789987644255,0.24407112078523158,-2.6968348266228443,-2.374942804595755,0.03572208918625811,-1.7812752078402507,-1.0781177615765902,1.9744208305532605,1.8819696942138666,0.5205974172638681,1.6982198019750538,-0.20375037047563452,-1.8670856267503702,0.9763154424280388,-0.6426353613139524]"
